PERMNO,date,TICKER,DIVAMT,FACPR,PRC,RET,CFACPR,sprtrn
89393,20160126,NFLX,,,97.83000,-0.013015,1,0.014144
89393,20160127,NFLX,,,91.15000,-0.068282,1,-0.010863
89393,20160128,NFLX,,,94.41000,0.035765,1,0.005529
89393,20160129,NFLX,,,91.84000,-0.027222,1,0.024760
89393,20160201,NFLX,,,94.09000,0.024499,1,-0.000443
89393,20160202,NFLX,,,91.49000,-0.027633,1,-0.018743
89393,20160203,NFLX,,,90.74000,-0.008198,1,0.004992
89393,20160204,NFLX,,,89.71000,-0.011351,1,0.001527
89393,20160205,NFLX,,,82.79000,-0.077137,1,-0.018481
89393,20160208,NFLX,,,83.32000,0.006402,1,-0.014154
89393,20160209,NFLX,,,86.13000,0.033725,1,-0.000664
89393,20160210,NFLX,,,88.45000,0.026936,1,-0.000189
89393,20160211,NFLX,,,86.35000,-0.023742,1,-0.012301
89393,20160212,NFLX,,,87.40000,0.012160,1,0.019518
89393,20160216,NFLX,,,89.05000,0.018879,1,0.016517
89393,20160217,NFLX,,,94.76000,0.064121,1,0.016480
89393,20160218,NFLX,,,90.49000,-0.045061,1,-0.004666
89393,20160219,NFLX,,,89.23000,-0.013924,1,-0.000026
89393,20160222,NFLX,,,91.93000,0.030259,1,0.014454
89393,20160223,NFLX,,,89.12000,-0.030567,1,-0.012454
89393,20160224,NFLX,,,91.61000,0.027940,1,0.004440
89393,20160225,NFLX,,,94.53000,0.031874,1,0.011348
89393,20160226,NFLX,,,94.79000,0.002750,1,-0.001870
89393,20160229,NFLX,,,93.41000,-0.014558,1,-0.008121
89393,20160301,NFLX,,,98.30000,0.052350,1,0.023869
89393,20160302,NFLX,,,97.61000,-0.007019,1,0.004094
89393,20160303,NFLX,,,97.93000,0.003278,1,0.003499
89393,20160304,NFLX,,,101.58000,0.037272,1,0.003306
89393,20160307,NFLX,,,95.49000,-0.059953,1,0.000885
89393,20160308,NFLX,,,96.23000,0.007750,1,-0.011240
89393,20160309,NFLX,,,98.00000,0.018393,1,0.005052
89393,20160310,NFLX,,,97.36000,-0.006531,1,0.000156
89393,20160311,NFLX,,,97.66000,0.003081,1,0.016396
89393,20160314,NFLX,,,98.13000,0.004813,1,-0.001261
89393,20160315,NFLX,,,97.86000,-0.002751,1,-0.001837
89393,20160316,NFLX,,,99.35000,0.015226,1,0.005600
89393,20160317,NFLX,,,99.72000,0.003724,1,0.006595
89393,20160318,NFLX,,,101.12000,0.014039,1,0.004406
89393,20160321,NFLX,,,101.06000,-0.000593,1,0.000986
89393,20160322,NFLX,,,99.84000,-0.012072,1,-0.000877
89393,20160323,NFLX,,,99.59000,-0.002504,1,-0.006386
