ID,Record,RT,Time,Stimulate,Fatigue,Hunger,busy(0)/light(1),illness,Sleep,Protocol,MEQ
10,2,0.418,,0,4,6,0,0,7.5,1,0
10,3,0.364,,0,3,5,0,0,7.5,1,0
10,4,0.402,,0,5,5,0,0,7.5,1,0
10,5,0.397,,0,2,4,1,0,8,1,0
10,6,0.417,,0,4,4,1,0,8,1,0
10,7,0.329,,0,2,5,1,0,8,1,0
10,8,0.353,,0,3,5,1,0,8,1,0
11,1,0.451,,0,5,4,0,0,9,1,-1
11,2,0.218,,0,3,3,0,0,9,1,-1
11,3,0.41,,0,4,5,0,0,9,1,-1
11,4,0.422,,0,3,5,0,0,9,1,-1
11,5,0.529,,0,5,5,1,0,8.5,1,-1
11,6,0.454,,0,4,5,1,0,8.5,1,-1
11,7,0.409,,0,6,6,1,0,8.5,1,-1
11,8,0.467,,0,6,6,1,0,8.5,1,-1
12,1,0.305,,0,3,6,0,1,8.5,1,-1
12,2,0.334,,0,3,6,0,1,8.5,1,-1
12,3,0.302,,0,1,4,0,1,8.5,1,-1
12,4,0.214,,0,2,5,0,1,8.5,1,-1
12,5,0.312,,0,3,6,1,1,9,1,-1
12,6,0.343,,0,4,6,1,1,9,1,-1
12,7,0.367,,0,3,7,1,1,9,1,-1
12,8,0.278,,0,2,5,1,1,9,1,-1
13,1,0.359,,0,2,4,0,0,7,1,0
13,2,0.38,,0,3,5,0,0,7,1,0
13,3,0.351,,0,3,3,0,0,7,1,0
13,4,0.417,,0,5,4,0,0,7,1,0
13,5,0.371,,1,6,3,1,0,6,1,0
13,6,0.407,,1,3,4,1,0,6,1,0
13,7,0.401,,0,4,7,1,0,6,1,0
13,8,0.347,,0,3,4,1,0,6,1,0
14,1,0.538,,0,3,4,1,1,6,1,-1
14,2,0.419,,0,4,5,1,1,6,1,-1
14,3,0.454,,0,4,4,1,1,6,1,-1
14,4,0.483,,0,5,7,1,1,6,1,-1
14,5,0.401,,0,2,4,0,1,9,1,-1
14,6,0.387,,0,3,3,0,1,9,1,-1
14,7,0.404,,0,2,5,0,1,9,1,-1
14,8,0.406,,0,4,7,0,1,9,1,-1
15,1,0.568,,0,5,3,1,0,8,1,-1
15,2,0.396,,1,4,5,1,0,8,1,-1
15,3,0.448,,0,4,4,1,0,8,1,-1
15,4,0.355,,1,3,5,1,0,8,1,-1
15,5,0.372,,0,3,4,0,0,10,1,-1
15,6,0.677,,0,4,7,0,0,10,1,-1
15,7,0.352,,0,4,4,0,0,10,1,-1
15,8,0.33,,0,4,5,0,0,10,1,-1
16,1,0.342,,0,3,4,0,0,10,1,-1
16,2,0.295,,0,1,6,0,0,10,1,-1
16,3,0.338,,0,5,7,0,0,10,1,-1
16,4,0.395,,0,5,6,0,0,10,1,-1
16,5,0.453,,0,5,3,1,0,4,1,-1
16,6,0.311,,0,4,4,1,0,4,1,-1
16,7,0.334,,0,5,6,1,0,4,1,-1
16,8,0.281,,0,4,6,1,0,4,1,-1
17,1,0.335,,0,3,3,1,0,9,1,-1
17,2,0.396,,0,5,4,1,0,9,1,-1
17,3,0.348,,0,4,6,1,0,9,1,-1
17,4,0.368,,0,6,5,1,0,9,1,-1
17,5,0.375,,0,2,4,0,0,8,1,-1
17,6,0.097,,0,1,6,0,0,8,1,-1
17,7,0.385,,0,5,3,0,0,8,1,-1
17,8,0.394,,0,6,5,0,0,8,1,-1
18,1,0.528,,0,4,5,1,0,7.3,1,0
18,2,0.477,,1,3,6,1,0,7.3,1,0
18,3,0.584,,0,5,7,1,0,7.3,1,0
18,4,0.571,,1,6,7,1,0,7.3,1,0
18,5,0.402,,1,3,6,0,0,7.1,1,0
18,6,0.474,,1,3,4,0,0,7.1,1,0
18,7,0.462,,1,3,4,0,0,7.1,1,0
18,8,0.463,,0,3,4,0,0,7.1,1,0
19,1,0.376,,0,3,4,0,0,7.5,1,0
19,2,0.407,,0,2,5,0,0,7.5,1,0
19,3,0.373,,0,4,6,0,0,7.5,1,0
19,4,0.431,,0,5,5,0,0,7.5,1,0
19,5,0.402,,0,5,4,1,0,7,1,0
19,6,0.382,,1,1,5,1,0,7,1,0
19,7,0.391,,0,4,4,1,0,7,1,0
19,8,0.394,,0,6,6,1,0,7,1,0
20,1,0.282,,0,3,4,1,0,8,1,0
20,2,0.312,,0,3,4,1,0,8,1,0
20,3,0.292,,0,4,7,1,0,8,1,0
20,4,0.305,,0,5,5,1,0,8,1,0
20,5,0.306,,0,3,4,0,0,8,1,0
20,6,0.312,,0,3,4,0,0,8,1,0
20,7,0.403,,0,3,4,0,0,8,1,0
20,8,0.317,,0,4,5,0,0,8,1,0
21,1,0.426,,0,3,3,1,0,7,1,0
21,2,0.396,,1,1,6,1,0,7,1,0
21,3,0.387,,0,2,6,1,0,7,1,0
21,4,,,0,,,1,0,7,1,0
21,5,,,,,,,,,,0
21,6,,,,,,,,,,0
21,7,,,,,,,,,,0
21,8,,,,,,,,,,0
22,1,0.295,,0,3,4,0,0,6.5,1,-1
22,2,0.323,,0,2,6,0,0,6.5,1,-1
22,3,0.304,,0,3,6,0,0,6.5,1,-1
22,4,0.318,,0,4,6,0,0,6.5,1,-1
22,5,0.298,,0,3,4,1,0,7.5,1,-1
22,6,0.314,,0,2,6,1,0,7.5,1,-1
22,7,0.297,,0,2,3,1,0,7.5,1,-1
22,8,0.299,,0,4,7,1,0,7.5,1,-1
23,1,0.429,,0,4,3,1,0,5,1,0
23,2,0.353,,0,3,5,1,0,5,1,0
23,3,0.391,,1,2,6,1,0,5,1,0
23,4,0.354,,0,6,7,1,0,5,1,0
23,5,0.481,,0,5,3,0,0,7,1,0
23,6,0.366,,1,3,3,0,0,7,1,0
23,7,0.368,,0,3,5,0,0,7,1,0
23,8,0.356,,0,2,4,0,0,7,1,0
24,1,0.437,,0,1,1,1,0,8,1,0
24,2,0.388,,0,1,1,1,0,8,1,0
24,3,0.405,,0,4,5,1,0,8,1,0
